"Enter house number. If you don't have one enter 0.","Enter house number. If you don't have one enter 0."
"House Number","House Number"
"Start typing and choose a street from the list.","Start typing and choose a street from the list."
"Start typing and choose a city from the list.","Start typing and choose a city from the list."
"Get Postcode","Get Postcode"
"Postcode could not be found. Please check your address and try again.","Postcode could not be found. Please check your address and try again."
"Please choose city and street","Please choose city and street"
